xd-cm-1,xd-cm4lf,電気フライヤー 業務用 4L 小型 100V PSE認証,,"¥18,400"
xd-cm-1,xd-cm6lf,電気フライヤー 業務用 6L 小型 100V PSE認証,,"¥23,000"
xd-cm-1,xd-cm8lf,電気フライヤー 業務用 6L 小型 100V PSE認証,,"¥26,380"
xd-cm-2,xd-cm4lf-2,電気フライヤー 業務用 二槽式 4L 小型 100V PSE認証,,"¥31,980"
xd-cm-2,xd-cm6lf-2,電気フライヤー 業務用 二槽式 6L 小型 100V PSE認証,,"¥34,980"
